name,mean,stddev
L5-A3-V2,8.61412638131,8.537701831555756
L5-A3-V10,17.2224861373,14.212263402786853
L5-A3-V20,24.08796024238999,22.353632580310165
L5-A5-V2,14.406201508329996,15.467076105341906
L5-A5-V10,20.568754572670006,18.39052851572552
L5-A5-V20,33.66566996866999,36.510138548780375
L5-A10-V2,191.52897303475,192.23554335704745
L5-A10-V10,64.67388795971003,59.39361145738608
L5-A10-V20,144.62339362832998,143.92345204659821
L10-A3-V2,0.24154140156,0.25448296073973653
L10-A3-V10,0.91363802342,0.8472044703226908
L10-A3-V20,1.18742706365,1.185292257267318
L10-A5-V2,0.5687305313500001,0.5522930500809796
L10-A5-V10,0.62823586266,0.6767391977053123
L10-A5-V20,1.18913402948,1.4388344196177594
L10-A10-V2,6.052669630489999,6.739127706177666
L10-A10-V10,2.65694953691,2.3654690225301125
L10-A10-V20,4.770643583400001,4.707615308251221
